iter	Logloss
0	0.6906791295
1	0.6885970424
2	0.686641769
3	0.6846984933
4	0.6831417132
5	0.6817412388
6	0.6802253906
7	0.6789981306
8	0.6778677734
9	0.6767071987
10	0.6755676339
11	0.6745556641
12	0.6737214286
13	0.6729621652
14	0.672271596
15	0.6715402902
16	0.6708699219
17	0.6702208147
18	0.6697024833
19	0.6689989676
20	0.6685027902
21	0.6680220982
22	0.6676140625
23	0.6672119699
24	0.666780106
25	0.6663742467
26	0.6659698661
27	0.6656331194
28	0.6652904018
29	0.6649623884
30	0.6646046038
31	0.6642074498
32	0.6638438058
33	0.6635477958
34	0.6632518973
35	0.6629621652
36	0.66271476
37	0.6624430246
38	0.6622098214
39	0.6619569754
40	0.6616533482
41	0.661388058
42	0.6611519252
43	0.660922433
44	0.6607024275
45	0.6604891183
46	0.6603164062
47	0.6601264788
48	0.6599227958
49	0.6597701172
50	0.6595796875
51	0.6593830636
52	0.6591978516
53	0.6589591518
54	0.6587458147
55	0.6585746652
56	0.6584197824
57	0.6581798549
58	0.6580304967
59	0.6578302455
60	0.6576643136
61	0.6575189453
62	0.6573249442
63	0.6571638951
64	0.6570132533
65	0.656863365
66	0.6566577567
67	0.656538644
68	0.656457394
69	0.6563063616
70	0.6561898717
71	0.656051981
72	0.6558959821
73	0.655756808
74	0.6555737444
75	0.6554343471
76	0.6552773158
77	0.6550924386
78	0.6549080915
79	0.6547586217
80	0.6546425781
81	0.6545169643
82	0.6544115234
83	0.6543061942
84	0.6541457589
85	0.6539598772
86	0.6538332589
87	0.653708817
88	0.6535763114
89	0.6534772321
90	0.6533400112
91	0.6532634766
92	0.6531629185
93	0.6530643415
94	0.6529811105
95	0.6528725725
96	0.6527643136
97	0.6526749442
98	0.6525615234
99	0.6524512277
100	0.652319894
101	0.6522233259
102	0.6521256696
103	0.6520198382
104	0.6519451451
105	0.6518431362
106	0.651759096
107	0.6516828962
108	0.6515606585
109	0.6514633371
110	0.6513044922
111	0.6512107143
112	0.6511213449
113	0.6510054687
114	0.6509016183
115	0.6508175502
116	0.6507179129
117	0.6506422433
118	0.6505530413
119	0.650469894
120	0.6503871931
121	0.6503074498
122	0.6501413504
123	0.6500594308
124	0.6500030413
125	0.6499257254
126	0.6498136161
127	0.6497427176
128	0.6496729632
129	0.6495977121
130	0.6495008929
131	0.6494099051
132	0.649302846
133	0.6492055246
134	0.6491466239
135	0.6490430246
136	0.6489708147
137	0.6489089007
138	0.6487957589
139	0.6487537667
140	0.6486297154
141	0.6485375
142	0.6484662109
143	0.6484114955
144	0.6483256417
145	0.6482628906
146	0.6480904576
147	0.6480558036
148	0.6479646205
149	0.6479041574
150	0.6478321708
151	0.6477772042
152	0.6477113281
153	0.6476554408
154	0.6475778181
155	0.6475362723
156	0.6474642299
157	0.6473962891
158	0.6473382254
159	0.6472672154
160	0.647205971
161	0.6471093192
162	0.6470232143
163	0.6469743025
164	0.6469042969
165	0.6468406529
166	0.6467839007
167	0.6467259487
168	0.6466557757
169	0.6466089844
170	0.6465309152
171	0.6464568638
172	0.6464120815
173	0.6463238281
174	0.6462688058
175	0.6461672712
176	0.646080106
177	0.6460108817
178	0.645958817
179	0.6458854911
180	0.6458489397
181	0.6457803571
182	0.6456910156
183	0.6456367746
184	0.6455858817
185	0.6455412388
186	0.6454786551
187	0.645408817
188	0.6453776507
189	0.6453242467
190	0.645267327
191	0.6452180246
192	0.6451176339
193	0.6450240513
194	0.6449607701
195	0.6448944196
196	0.6448117467
197	0.6447696429
198	0.6446808036
199	0.6446234375
200	0.6445711217
201	0.6445179688
202	0.6444580357
203	0.6443859933
204	0.6443410156
205	0.644215067
206	0.6441496094
207	0.6440647321
208	0.6440023437
209	0.6439343471
210	0.6438776228
211	0.6438225446
212	0.6437549944
213	0.6437044643
214	0.6436313895
215	0.6435823382
216	0.6435229911
217	0.64347899
218	0.6434217076
219	0.6433840123
220	0.6433371931
221	0.6432763672
222	0.6432105748
223	0.6431575335
224	0.6430941406
225	0.643009654
226	0.6429445312
227	0.6429002232
228	0.6428209263
229	0.6427684152
230	0.6427081473
231	0.6426541016
232	0.6425710937
233	0.6425147879
234	0.6424493862
235	0.6424038504
236	0.6423406529
237	0.6422852679
238	0.6422246652
239	0.6421583147
240	0.64209601
241	0.6420163504
242	0.6419755022
243	0.6419291016
244	0.6418520926
245	0.6418067243
246	0.6417598772
247	0.6417004185
248	0.6416367746
249	0.6415401507
250	0.6414626674
251	0.6413893415
252	0.6413417411
253	0.6412847656
254	0.6412152902
255	0.6411779297
256	0.6411080915
257	0.6410451172
258	0.6409410993
259	0.6408799665
260	0.6407829799
261	0.6407021763
262	0.6406379743
263	0.6405820871
264	0.6405190848
265	0.6404538225
266	0.6404140904
267	0.6403704241
268	0.6403174665
269	0.6402635045
270	0.6402190569
271	0.6401179967
272	0.6400456752
273	0.639999721
274	0.6399210379
275	0.6398625279
276	0.6398034877
277	0.6397493304
278	0.6396959821
279	0.6396073103
280	0.639549721
281	0.6394776786
282	0.6394293248
283	0.6393779576
284	0.6392943638
285	0.6392289062
286	0.6391685268
287	0.6390851004
288	0.6390123605
289	0.6389540458
290	0.6388604632
291	0.6387801339
292	0.6387075056
293	0.6386609375
294	0.6385882254
295	0.6385444196
296	0.6384731864
297	0.6384004743
298	0.6383323661
299	0.6382573382
